p_name,xlong,ylat,ghg_radius_m
Arkwright Summit,-79.23183255555556,42.40774783333333,19872.4
Cassadaga,-79.17470372972973,42.31548521621622,19493.1
Copenhagen,-75.6393374,43.890877725,20474.0
Dutch Hill/Cohocton,-77.45470686,42.53305176,35746.6
Fenner Wind Power Project,-75.76067710526316,42.989135947368425,10397.6
Fenner Wind Power Project - Repower,-75.767838,42.975552,11553.1
Half Hollow Nursery,-72.570854,40.969059,41106.8
Harbec Plastics,-77.360939,43.226522,22605.6
Hardscrabble,-74.89501694594595,43.14359886486486,20810.5
High Sheldon,-78.39379154666666,42.7440134,24611.2
Howard,-77.53695618518519,42.31271614814815,15863.4
Jericho Rise,-74.09657116216216,44.883082513513514,29765.1
Madison Windpower,-75.45203957142857,42.89491942857143,21131.3
Maple Ridge,-75.5533175,43.747381437499996,32861.2
Maple Ridge (Lowville),-75.62250359756098,43.80786052439024,28427.3
Marble River,-73.93881595714286,44.92812828571429,34682.3
Marsh Hill,-77.5045769,42.1773228,36187.1
Munnsville,-75.55895891304348,42.92641278260869,15943.2
New York State Thruway Authority,-79.39859974999999,42.43075875,41643.9
Noble Altona,-73.64967252307692,44.820633907692304,9882.3
Noble Bliss,-78.25864031343284,42.5451171641791,30204.7
Noble Chateaugay,-74.03575995774648,44.89893902816901,31978.9
Noble Clinton,-73.99393073134327,44.921359835820894,33768.2
Noble Ellenburg,-73.97373362962963,44.86983174074074,36564.5
Noble Wethersfield,-78.26085490476191,42.62293007142857,22447.5
Orangeville Wind,-78.24060375862068,42.746163603448274,36171.8
Roaring Brook Wind,-75.61710550000001,43.70754375,39594.7
Seneca Nation,-79.102692,42.580894,30715.7
Steel Winds,-78.867636625,42.8179025,13747.8
Steel Winds II,-78.861697,42.807241833333336,12185.9
Town of Richland,-76.036995,43.565189,41431.7
Wethersfield,-78.24533679999999,42.682781999999996,29452.0
Zotos,-76.9680515,42.886696,12873.2
unknown Allegany County,-78.307854,42.519878,22952.0
unknown Cayuga County,-76.582039,42.663563,51254.1
unknown Chautauqua County,-79.116371,42.55933,32106.2
unknown Erie County,-78.930092,42.977398,1830.1
unknown Genesee County,-78.403236,43.000549,17294.2
unknown Greene County,-74.043701,42.353592,36395.7
unknown Kings County,-74.008804,40.663235,61207.6
unknown Montgomery County,-74.510246,42.9051875,23676.2
unknown Niagara County,-78.493965,43.282898,16907.5
unknown Oneida County,-75.44736900000001,42.975771,12806.7
unknown Wyoming County,-78.187935,42.740818,40606.3
"Heritage Wind, LLC",-78.208094,43.232126,29093.8
Number Three Wind Farm,-75.472278,43.798604,29052.0
Alle-Catt Wind Farm,-78.391547,42.572191,16998.4
Eight Point Wind,-77.686829,42.05757,23654.0
Ball Hill,-79.167766,42.52668,25524.5
Bluestone Wind,-75.643747,42.065354,22333.5
High Bridge Wind and Battery,-75.483493,42.42155,30759.7
Empire Wind,-73.319972,40.299972,31152.8
Beacon Wind,-70.609972,40.75,397728.2
Empire Wind 2,-73.219972,40.27,23750.7
Baron Winds I,-77.496964,42.490952,27134.9
Baron Winds II,-77.496964,42.490952,27134.9
Prattsburgh Wind Farm,-77.293814,42.523492,28347.0
Sunrise Wind,-71.109972,41.0,299016.3
